Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","9453","X","Figure from international organizations"
"FBS","Food Balances (2010-)","100","Bulgaria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","7052","X","Figure from international organizations"
"FBS","Food Balances (2010-)","203","Czechia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","10666","X","Figure from international organizations"
"FBS","Food Balances (2010-)","348","Hungary","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","9707","X","Figure from international organizations"
"FBS","Food Balances (2010-)","616","Poland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","37922","X","Figure from international organizations"
"FBS","Food Balances (2010-)","498","Republic of Moldova","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","4052","X","Figure from international organizations"
"FBS","Food Balances (2010-)","642","Romania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","19506","X","Figure from international organizations"
"FBS","Food Balances (2010-)","643","Russian Federation","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","145734","X","Figure from international organizations"
"FBS","Food Balances (2010-)","703","Slovakia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5453","X","Figure from international organizations"
"FBS","Food Balances (2010-)","804","Ukraine","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","44246","X","Figure from international organizations"
