Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","44361","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","11353","X","Figure from international organizations"
"FBS","Food Balances (2010-)","076","Brazil","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","209469","X","Figure from international organizations"
"FBS","Food Balances (2010-)","152","Chile","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","18729","X","Figure from international organizations"
"FBS","Food Balances (2010-)","170","Colombia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","49661","X","Figure from international organizations"
"FBS","Food Balances (2010-)","218","Ecuador","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","17084","X","Figure from international organizations"
"FBS","Food Balances (2010-)","328","Guyana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","779.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","600","Paraguay","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","6956","X","Figure from international organizations"
"FBS","Food Balances (2010-)","604","Peru","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","31989","X","Figure from international organizations"
"FBS","Food Balances (2010-)","740","Suriname","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","576","X","Figure from international organizations"
"FBS","Food Balances (2010-)","858","Uruguay","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","3449","X","Figure from international organizations"
"FBS","Food Balances (2010-)","862","Venezuela (Bolivarian Republic of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","28887","X","Figure from international organizations"
